profile,Total Cookies,1P Cookies,3P Cookies,Necessary,Functional,Performance,Advertising,Analytics,Others/Unknown,1P Tracking Cookies,LocalStorage,SessionStorage
Baseline Profile,15724,7741,7983,1750,658,678,2294,3523,4470,825,4997,1856
Adblock,15278,7548,7730,1740,671,642,2279,3367,4433,703,4440,1845
AdblockPlus,14295,6971,7324,1735,652,601,2099,2859,4313,468,3883,1530
Disconnect,8145,5225,2920,1403,211,213,678,1814,2895,464,2600,1156
Privacy Badger,8599,5526,3073,1511,319,184,650,1866,2897,320,2883,1218
uBlock,15258,7511,7747,1748,649,640,2169,3364,4451,663,4218,1791
uBlock Origin Lite,6383,3773,2610,1447,256,164,581,541,2469,314,2167,1134
AdGuard,6304,3745,2559,1344,223,125,584,491,2509,318,2087,1274
Ghostery,13143,6939,6204,1804,558,461,1789,2617,4020,549,4146,1854
Accept All Cookies,19787,8040,11747,1682,845,744,3985,3871,5914,922,5471,2227
Cookie Cutter,15900,7806,8094,1775,660,670,2323,3576,4560,829,5063,1931
Consent-O-Matic (Opt-in),25436,9301,16135,2102,1074,880,5965,4406,6920,1291,6400,2116
Consent-O-Matic (Opt-out),16825,8144,8681,1912,695,653,2575,3605,4805,864,5238,2240
Ghostery (Never Consent),17384,8260,9124,1918,722,672,2815,3615,4987,888,5192,2110
I Don't Care About Cookies,19676,7977,11699,1751,878,729,3977,3748,5668,989,5444,2148
"Super Agent (""Opt-in"")",25106,9343,15763,1984,1077,896,5485,4317,7241,1217,7278,2361
"Super Agent (""Opt-out"")",22851,8612,14239,2002,929,843,4744,3953,6865,1091,6719,2344
Decentraleyes,15936,7825,8111,1791,680,671,2344,3586,4565,828,5064,2017